param rho := 2;
set nusos:= 1 2 3 4 5 6 7;
set centr:= 1 3 5 7;

set links:=
(1,7)
(1,2)
(1,6)
(2,3)
(2,5)
(3,7)
(3,5)
(3,6)
(3,4)
(4,7)
(4,5)
(5,6)
(5,7)
(6,7);

set origens:= 1 3;
set destins:= 5 7;

set odpair:=
(1,5)
(1,7)
(3,5)
(3,7);

param g:=
1 5 10
1 7 90
3 5 35
3 7 20;

param c:=
1 7 4
1 2 1
1 6 4
2 3 3
2 5 4
3 7 5
3 5 4
3 6 5
3 4 2
4 7 1
4 5 4
5 6 4
5 7 2
6 7 5;

param cap:=
1 7 3
1 2 3
1 6 1
2 3 5
2 5 1
3 7 5
3 5 2
3 6 1
3 4 1
4 7 2
4 5 1
5 6 5
5 7 3
6 7 3;

