param x:
1 2 3 4 5 :=
1 0.304 0.696 0.31 0.489 -1
2 0.622 0.658 0.248 0.025 -1
3 0.931 0.807 0.979 0.585 1
4 0.098 0.157 0.272 0.469 -1
5 0.447 0.616 0.195 0.834 1
6 0.861 0.5 0.496 0.564 1
7 0.368 0.353 0.281 0.3 1
8 0.827 0.913 0.407 0.179 1
9 0.337 0.45 0.655 0.156 -1
10 0.284 0.641 0.471 0.595 -1
11 0.649 0.226 0.065 0.098 -1
12 0.234 0.048 0.565 0.104 -1
13 0.455 0.534 0.836 0.055 -1
14 0.429 0.996 0.309 0.542 1
15 0.19 0.04 0.393 0.562 -1
16 0.976 0.195 0.543 0.293 1
17 0.576 0.274 0.841 0.764 1
18 0.659 0.307 0.808 0.456 1
19 0.865 0.794 0.906 0.362 1
20 0.299 0.074 0.309 0.945 -1
21 0.802 0.162 0.302 0.565 -1
22 0.209 0.607 0.144 0.476 -1
23 0.406 0.795 0.668 0.851 1
24 0.571 0.512 0.088 0.771 -1
25 0.019 0.526 0.757 0.777 1
26 0.251 0.662 0.682 0.021 -1
27 0.43 0.708 0.652 0.715 1
28 0.474 0.498 0.31 0.783 1
29 0.319 0.41 0.63 0.943 1
30 0.87 0.658 0.032 0.262 -1
31 0.872 0.37 0.904 0.623 1
32 0.995 0.827 0.811 0.32 1
33 0.391 0.502 0.089 0.39 -1
34 0.368 0.927 0.996 0.882 1
35 0.11 0.552 0.911 0.24 -1
36 0.888 0.351 0.199 0.558 -1
37 0.445 0.501 0.55 0.82 1
38 0.787 0.985 0.587 0.67 1
39 0.56 0.289 0.203 0.547 -1
40 0.749 0.372 0.801 0.317 1
41 0.678 0.839 0.139 0.073 -1
42 0.078 0.667 0.745 0.979 1
43 0.023 0.975 0.725 0.848 1
44 0.366 0.215 0.076 0.426 -1
45 0.82 0.173 0.859 0.74 1
46 0.804 0.634 0.934 0.569 1
47 0.563 0.838 0.008 0.389 -1
48 0.506 0.496 0.924 0.435 1
49 0.792 0.528 0.767 0.754 1
50 0.791 0.046 0.256 0.882 -1
51 0.206 0.991 0.667 0.981 1
52 0.784 0.136 0.78 0.954 -1
53 0.009 0.519 0.932 0.65 1
54 0.636 0.669 0.255 0.268 -1
55 0.226 0.678 0.263 0.539 -1
56 0.782 0.635 0.904 0.398 1
57 0.352 0.559 0.455 0.615 -1
58 0.468 0.204 0.05 0.2 -1
59 0.311 0.904 0.06 0.949 1
60 0.062 0.654 0.783 0.43 -1
61 0.349 0.436 0.344 0.012 -1
62 0.884 0.118 0.971 0.998 1
63 0.395 0.082 0.699 0.154 -1
64 0.24 0.414 0.029 0.861 -1
65 0.594 0.194 0.5 0.519 -1
66 0.45 0.76 0.334 0.118 -1
67 0.414 0.861 0.332 0.886 1
68 0.775 0.97 0.71 0.312 1
69 0.924 0.709 0.629 0.542 1
70 0.682 0.038 0.538 0.502 -1
71 0.801 0.799 0.243 0.926 1
72 0.616 0.866 0.485 0.41 1
73 0.408 0.861 0.33 0.062 -1
74 0.916 0.445 0.11 0.056 -1
75 0.964 0.023 0.481 0.328 -1
76 0.393 0.224 0.484 0.789 -1
77 0.658 0.724 0.158 0.57 1
78 0.964 0.708 0.876 0.76 1
79 0.562 0.544 0.552 0.477 1
80 0.268 0.78 0.311 0.696 1
81 0.499 0.669 0.944 0.246 1
82 0.968 0.852 0.913 0.455 1
83 0.841 0.373 0.678 0.425 1
84 0.143 0.912 0.095 0.472 -1
85 0.543 0.791 0.14 0.035 -1
86 0.36 0.944 0.417 0.839 1
87 0.811 0.108 0.678 0.378 -1
88 0.351 0.178 0.983 0.686 1
89 0.67 0.559 0.482 0.785 1
90 0.332 0.316 0.178 0.688 -1
91 0.556 0.134 0.987 0.77 1
92 0.499 0.414 0.994 0.215 1
93 0.983 0.107 0.752 0.092 -1
94 0.717 0.538 0.782 0.862 1
95 0.451 0.1 0.848 0.797 1
96 0.621 0.904 0.621 0.042 1
97 0.232 0.067 0.913 0.024 -1
98 0.697 0.92 0.227 0.091 -1
99 0.563 0.827 0.213 0.857 1
100 0.291 0.662 0.113 0.053 -1
;1 0.304 0.696 0.31 0.489 -1
2 0.622 0.658 0.248 0.025 -1
3 0.931 0.807 0.979 0.585 1
4 0.098 0.157 0.272 0.469 -1
5 0.447 0.616 0.195 0.834 1
6 0.861 0.5 0.496 0.564 1
7 0.368 0.353 0.281 0.3 1
8 0.827 0.913 0.407 0.179 1
9 0.337 0.45 0.655 0.156 -1
10 0.284 0.641 0.471 0.595 -1
11 0.649 0.226 0.065 0.098 -1
12 0.234 0.048 0.565 0.104 -1
13 0.455 0.534 0.836 0.055 -1
14 0.429 0.996 0.309 0.542 1
15 0.19 0.04 0.393 0.562 -1
16 0.976 0.195 0.543 0.293 1
17 0.576 0.274 0.841 0.764 1
18 0.659 0.307 0.808 0.456 1
19 0.865 0.794 0.906 0.362 1
20 0.299 0.074 0.309 0.945 -1
21 0.802 0.162 0.302 0.565 -1
22 0.209 0.607 0.144 0.476 -1
23 0.406 0.795 0.668 0.851 1
24 0.571 0.512 0.088 0.771 -1
25 0.019 0.526 0.757 0.777 1
26 0.251 0.662 0.682 0.021 -1
27 0.43 0.708 0.652 0.715 1
28 0.474 0.498 0.31 0.783 1
29 0.319 0.41 0.63 0.943 1
30 0.87 0.658 0.032 0.262 -1
31 0.872 0.37 0.904 0.623 1
32 0.995 0.827 0.811 0.32 1
33 0.391 0.502 0.089 0.39 -1
34 0.368 0.927 0.996 0.882 1
35 0.11 0.552 0.911 0.24 -1
36 0.888 0.351 0.199 0.558 -1
37 0.445 0.501 0.55 0.82 1
38 0.787 0.985 0.587 0.67 1
39 0.56 0.289 0.203 0.547 -1
40 0.749 0.372 0.801 0.317 1
41 0.678 0.839 0.139 0.073 -1
42 0.078 0.667 0.745 0.979 1
43 0.023 0.975 0.725 0.848 1
44 0.366 0.215 0.076 0.426 -1
45 0.82 0.173 0.859 0.74 1
46 0.804 0.634 0.934 0.569 1
47 0.563 0.838 0.008 0.389 -1
48 0.506 0.496 0.924 0.435 1
49 0.792 0.528 0.767 0.754 1
50 0.791 0.046 0.256 0.882 -1
51 0.206 0.991 0.667 0.981 1
52 0.784 0.136 0.78 0.954 -1
53 0.009 0.519 0.932 0.65 1
54 0.636 0.669 0.255 0.268 -1
55 0.226 0.678 0.263 0.539 -1
56 0.782 0.635 0.904 0.398 1
57 0.352 0.559 0.455 0.615 -1
58 0.468 0.204 0.05 0.2 -1
59 0.311 0.904 0.06 0.949 1
60 0.062 0.654 0.783 0.43 -1
61 0.349 0.436 0.344 0.012 -1
62 0.884 0.118 0.971 0.998 1
63 0.395 0.082 0.699 0.154 -1
64 0.24 0.414 0.029 0.861 -1
65 0.594 0.194 0.5 0.519 -1
66 0.45 0.76 0.334 0.118 -1
67 0.414 0.861 0.332 0.886 1
68 0.775 0.97 0.71 0.312 1
69 0.924 0.709 0.629 0.542 1
70 0.682 0.038 0.538 0.502 -1
71 0.801 0.799 0.243 0.926 1
72 0.616 0.866 0.485 0.41 1
73 0.408 0.861 0.33 0.062 -1
74 0.916 0.445 0.11 0.056 -1
75 0.964 0.023 0.481 0.328 -1
76 0.393 0.224 0.484 0.789 -1
77 0.658 0.724 0.158 0.57 1
78 0.964 0.708 0.876 0.76 1
79 0.562 0.544 0.552 0.477 1
80 0.268 0.78 0.311 0.696 1
81 0.499 0.669 0.944 0.246 1
82 0.968 0.852 0.913 0.455 1
83 0.841 0.373 0.678 0.425 1
84 0.143 0.912 0.095 0.472 -1
85 0.543 0.791 0.14 0.035 -1
86 0.36 0.944 0.417 0.839 1
87 0.811 0.108 0.678 0.378 -1
88 0.351 0.178 0.983 0.686 1
89 0.67 0.559 0.482 0.785 1
90 0.332 0.316 0.178 0.688 -1
91 0.556 0.134 0.987 0.77 1
92 0.499 0.414 0.994 0.215 1
93 0.983 0.107 0.752 0.092 -1
94 0.717 0.538 0.782 0.862 1
95 0.451 0.1 0.848 0.797 1
96 0.621 0.904 0.621 0.042 1
97 0.232 0.067 0.913 0.024 -1
98 0.697 0.92 0.227 0.091 -1
99 0.563 0.827 0.213 0.857 1
100 0.291 0.662 0.113 0.053 -1
